Fecha;Tipo;Categoria;Subcategoria;Concepto;Descripcion;Monto_Original;Moneda;Tasa_Cambio_USD_COP;Monto_COP;Comision_Bancaria_USD;Proveedor_Pagador;Numero_Factura;Metodo_Pago;Estado;Notas
2026-04-15;Ingreso;Sueldo;BRIX Agency;Sueldo quincenal BRIX Agency;Pago quincenal del 15 de abril (500 USD - 100 USD adelanto);400.00;USD;3576.50;1430600.00;;BRIX Agency;;Transferencia;Completado;Se desconto 100 USD de adelanto del 9 de abril
2026-04-15;Gasto;Suscripciones;Software;Suscripcion Claude.AI;Suscripcion mensual Anthropic Claude Pro;20.00;USD;3576.50;71530.00;;Anthropic;;Tarjeta;Completado;
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Agua Cristal;Agua Cristal Pet Sport 1000ml;2700.00;COP;;2700.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Bebida Toning Soya;Beb. Polvo Toning Soya Vainilla 750g;25000.00;COP;;25000.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Otros;Compra supermercado - Bolsa MXM;Bolsa MXM No Tejida 100% Bio;1950.00;COP;;1950.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Caiman Shock;Caiman Shock Oruga Morada;8900.00;COP;;8900.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Curcuma;Curcuma Dia Polvo 28g;2250.00;COP;;2250.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Higiene Personal;Compra supermercado - Desodorante Rexona;Des. Rexona Clinical Roll Clean;10500.00;COP;;10500.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Higiene Personal;Compra supermercado - Desodorante SS Clinical;Des. SS Clinical Practitubo;12700.00;COP;;12700.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Lechuga Crespa;Lechuga Crespa;3600.00;COP;;3600.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Limon;Limon Comun 0.57kg;3739.20;COP;;3739.20;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Lulo;Lulo 0.54kg;4665.60;COP;;4665.60;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Masa de Maiz;Masa de Maiz Amarillo 500g;2240.00;COP;;2240.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Levadura Levapan;Levadura Levapan Seca 7g;1300.00;COP;;1300.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Mermelada Frugal;Mermelada Frugal de Mora 200g;4650.00;COP;;4650.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Mortadela Delichicks;Mortadela Delichicks 450g;7950.00;COP;;7950.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 5% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Mantequilla de Mani;Mantequilla de Mani Members Crunchy;36000.00;COP;;36000.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Pan Guadalupe;Pan Guadalupe Tajado Integral Extra;8450.00;COP;;8450.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Panela Dulcesita;Panela Dulcesita Partida 1500g;7650.00;COP;;7650.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Queso Villa Aurora;Queso Villa Aurora Costeno Rallado;9400.00;COP;;9400.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Hogar;Compra supermercado - Rallador;Rallador Cocina Criolla 6 Lados;11450.00;COP;;11450.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Salvado Toning;Salvado Toning Natural 450g;3960.00;COP;;3960.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 5% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Semilla de Chia;Semilla de Chia Seletti 200g;8150.00;COP;;8150.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Higiene Personal;Compra supermercado - Tinte Coloriss;Tinte Coloriss N-8.31;12450.00;COP;;12450.00;;Mas x Menos;023E01201556;Tarjeta;Completado;IVA 19% incluido
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Tostada Ducampo;Tostada Ducampo con Nuez 180g;5400.00;COP;;5400.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Mercado;Alimentos;Compra supermercado - Uvas Pasas;Uvas Pasas MXM 125g;3300.00;COP;;3300.00;;Mas x Menos;023E01201556;Tarjeta;Completado;Sin IVA
2026-04-15;Gasto;Deuda;Pago Deuda;Pago parcial deuda Tio Bairon;Transferencia a Tio Bairon;225.00;USD;3576.50;804712.50;;Tio Bairon;;Transferencia;Completado;De la deuda original de 700 USD
2026-04-17;Gasto;Prestamo;Prestamo Personal;Prestamo a Jhonatan;Dinero prestado a Jhonatan;20000.00;COP;;20000.00;;Jhonatan;;Transferencia;Pagado;Ya devuelto el 28 de abril
2026-04-18;Gasto;Suscripciones;Entretenimiento;Suscripcion Spotify;Suscripcion mensual Spotify;18500.00;COP;;18500.00;;Spotify;;Tarjeta;Completado;
2026-04-18;Gasto;Mercado;Alimentos;Compra supermercado - Bolsa Reciclada;Bolsa Reciclada MXM;200.00;COP;;200.00;;Mas x Menos;024E01213336;Tarjeta;Completado;IVA 19% incluido
2026-04-18;Gasto;Mercado;Alimentos;Compra supermercado - Chocolatina Jet;Chocolatina Jet Duopack 22g x2;4000.00;COP;;4000.00;;Mas x Menos;024E01213336;Tarjeta;Completado;IVA 19% incluido
2026-04-18;Gasto;Mercado;Alimentos;Compra supermercado - Extruido La Victoria;Extruido La Victoria Qcitos 180g;4480.00;COP;;4480.00;;Mas x Menos;024E01213336;Tarjeta;Completado;IVA 19% incluido
2026-04-18;Gasto;Mercado;Alimentos;Compra supermercado - Gaseosa Sprite;Gaseosa Sprite 3000ml;8000.00;COP;;8000.00;;Mas x Menos;024E01213336;Tarjeta;Completado;IVA 19% incluido
2026-04-18;Gasto;Mercado;Alimentos;Compra supermercado - Helado Seletti;Helado Seletti Cookies & Cream;17900.00;COP;;17900.00;;Mas x Menos;024E01213336;Tarjeta;Completado;IVA 19% incluido
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Aros de Cebolla;Aros de Cebolla Antojitos 30g;3650.00;COP;;3650.00;;Mas x Menos;024E01213936;Tarjeta;Completado;IVA 5% incluido
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Pan Frances con Ajo;Pan Frances con Ajo x5;21500.00;COP;;21500.00;;Mas x Menos;024E01213936;Tarjeta;Completado;Sin IVA
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Papa La Victoria;Papa La Victoria Fosforito 160g;6600.00;COP;;6600.00;;Mas x Menos;024E01213936;Tarjeta;Completado;IVA 19% incluido
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Queso Villa Aurora;Queso Villa Aurora Costeno Rallado;9400.00;COP;;9400.00;;Mas x Menos;024E01213936;Tarjeta;Completado;Sin IVA
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Salchicha Delichicks;Salchicha Delichicks Pollo S P;14400.00;COP;;14400.00;;Mas x Menos;024E01213936;Tarjeta;Completado;IVA 19% incluido
2026-04-20;Gasto;Mercado;Alimentos;Compra supermercado - Salsa Bacana;Salsa Bacana Frugal 170g;3800.00;COP;;3800.00;;Mas x Menos;024E01213936;Tarjeta;Completado;IVA 19% incluido
2026-04-23;Gasto;Suscripciones;Software;Suscripcion 1Password;1Password Families Plan Mensual - Flia. Marciales;7.99;USD;3576.50;28586.14;;1Password;in_1TPPYnHBax7L5HDfYMPzk115;Tarjeta;Completado;Incluye 5 extra users gratis
2026-04-23;Gasto;Mercado;Alimentos;Compra supermercado - Cereal Flips;Cereal Flips Chocolate 400g;16200.00;COP;;16200.00;;Mas x Menos;024E01214936;Efectivo;Completado;IVA 19% incluido
2026-04-23;Gasto;Mercado;Alimentos;Compra supermercado - Leche Freskaleche;Leche Freskaleche Saborizada Santandereana;5800.00;COP;;5800.00;;Mas x Menos;024E01214936;Efectivo;Completado;Sin IVA
2026-04-24;Gasto;Mercado;Alimentos;Compra D1;Mercado en D1;1350.00;COP;;1350.00;;D1;;Efectivo;Completado;
2026-04-26;Gasto;Mercado;Alimentos;Compra supermercado - Gaseosa Coca-Cola;Gaseosa Coca-Cola 1500ml;6800.00;COP;;6800.00;;Mas x Menos;023E01204789;Efectivo;Completado;IVA 19% incluido
2026-04-27;Gasto;Mercado;Hogar;Adaptador de corriente;Adaptador de corriente;3500.00;COP;;3500.00;;;;Efectivo;Completado;
2026-04-28;Ingreso;Freelance;Diseno Web;Pago adicional Eventive Global;Pago adicional trabajo freelance;100.00;USD;3576.79;357679.00;4.12;Givi (Eventive Global);;Transferencia;Completado;
2026-04-28;Ingreso;Cobro Deuda;Personal;Pago deuda Jhonatan;Jhonatan devuelve dinero prestado;20000.00;COP;;20000.00;;Jhonatan;;Transferencia;Completado;Deuda del 17 de abril
2026-04-28;Gasto;Mercado;Alimentos;Compra mercado;Mercado general;46430.00;COP;;46430.00;;;;Efectivo;Completado;
2026-04-28;Gasto;Mercado;Alimentos;Compra queso;Queso;18000.00;COP;;18000.00;;;;Efectivo;Completado;
2026-04-28;Gasto;Mercado;Alimentos;Compra pan;Pan;8000.00;COP;;8000.00;;;;Efectivo;Completado;
2026-04-28;Gasto;Mercado;Alimentos;Compra obleas;Obleas;42600.00;COP;;42600.00;;;;Efectivo;Completado;
2026-04-28;Gasto;Telefonia;Cuota Telefono;Cuota telefono Motorola Edge Fusion;Pago cuota mensual telefono;131000.00;COP;;131000.00;;;;Transferencia;Completado;
2026-04-28;Gasto;Perdida;Efectivo;Dinero perdido en la calle;Perdida de efectivo;30000.00;COP;;30000.00;;;;Efectivo;Completado;Dinero extraviado
2026-04-29;Ingreso;Otros;Personal;Ingreso de Horacio;Dinero recibido por concepto de Horacio;35262.00;COP;;35262.00;;Horacio;;Transferencia;Completado;
2026-04-29;Gasto;Suscripciones;Entretenimiento;Suscripcion HBO Max;Suscripcion mensual HBO;12000.00;COP;;12000.00;;HBO Max;;Tarjeta;Completado;
2026-04-29;Gasto;Mercado;Alimentos;Compra supermercado - Harton Verde;Harton Verde 2.23kg;12844.80;COP;;12844.80;;Mas x Menos;024E01217511;Tarjeta;Completado;Sin IVA
2026-04-29;Gasto;Mercado;Alimentos;Compra supermercado - Carne Molida;Molida Especial VCI 1.02kg;31363.50;COP;;31363.50;;Mas x Menos;024E01217511;Tarjeta;Completado;Sin IVA
2026-04-30;Ingreso;Sueldo;BRIX Agency;Sueldo quincenal BRIX Agency;Pago quincenal del 30 de abril;500.00;USD;3624.02;1812010.00;;BRIX Agency;;Tarjeta;Completado;
2026-04-30;Gasto;Suscripciones;Software;Suscripcion Microsoft OneDrive;Suscripcion anual OneDrive;45999.00;COP;;45999.00;;Microsoft;;Tarjeta;Completado;
2026-04-30;Gasto;Mercado;Alimentos;Compra aguacate;Aguacate;5000.00;COP;;5000.00;;;;Efectivo;Completado;
2026-04-30;Gasto;Mercado;Alimentos;Compra tomates;Tomates;8550.00;COP;;8550.00;;;;Efectivo;Completado;
2026-04-30;Gasto;Mercado;Alimentos;Compra supermercado - Gaseosa Coca-Cola;Gaseosa Coca-Cola 2500ml;8800.00;COP;;8800.00;;Mas x Menos;172E01237363;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Ingreso;Freelance;Diseno Web;Pago adicional Eventive Global;Pago adicional trabajo freelance;100.00;USD;3625.49;362549.00;4.12;Givi (Eventive Global);;Transferencia;Completado;
2026-05-01;Gasto;Suscripciones;Software;Suscripcion Toggl;Suscripcion Toggl;36375.10;COP;;36375.10;;Toggl;;Tarjeta;Completado;Equivalente a 10 USD
2026-05-01;Gasto;Suscripciones;Software;Suscripcion Google Workspace;Suscripcion Google Workspace;34884.00;COP;;34884.00;;Google;;Tarjeta;Completado;
2026-05-01;Gasto;Vivienda;Alquiler;Pago alquiler casa;Alquiler mensual de la casa;1000000.00;COP;;1000000.00;;;;Transferencia;Completado;
2026-05-01;Gasto;Transferencia;Familia;Transferencia a papa;Dinero para comprar queso y cilantro;12000.00;COP;;12000.00;;Papa;;Transferencia;Completado;
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Arequipe Celema;Arequipe Celema Tarrina 220g;5900.00;COP;;5900.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Limpieza;Compra supermercado - Blanqueador Clorox;Blanqueador Clorox Regular 930ml;3300.00;COP;;3300.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Otros;Compra supermercado - Bolsa MXM;Bolsa MXM No Tejida 100% Bio;1950.00;COP;;1950.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Limpieza;Compra supermercado - Detergente Ariel;Detergente Liquido Ariel Triple Poder;47150.00;COP;;47150.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Galleta Chips Ahoy;Galleta Chips Ahoy Mini Bolsa;2550.00;COP;;2550.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Aguacate;Aguacate 0.86kg;14364.00;COP;;14364.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Ajo;Ajo Internacional 0.09kg;1440.00;COP;;1440.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Banano;Banano 1.28kg;6528.00;COP;;6528.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Cebolla Blanca;Cebolla Blanca Pelada 0.40kg;2240.00;COP;;2240.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Cebolla Rama;Cebolla Rama 0.47kg;3666.00;COP;;3666.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Limon;Limon Comun 0.37kg;2993.00;COP;;2993.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Rabano Rojo;Rabano Rojo 0.12kg;2040.00;COP;;2040.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Laurel;Laurel MXM 5g;1955.00;COP;;1955.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Margarina Campi;Margarina Campi con Sal 500g;11400.00;COP;;11400.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Oregano;Oregano El Trebol 10g;1950.00;COP;;1950.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Panela;Panela Dulcesita Partida 1500g;7650.00;COP;;7650.00;;Mas x Menos;023E01206398;Tarjeta;Completado;Sin IVA
2026-05-01;Gasto;Mercado;Higiene Personal;Compra supermercado - Shampoo Dove;Shampoo Dove Reconst 370ml + Acondicionador 300ml;28950.00;COP;;28950.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Limpieza;Compra supermercado - Suavizante Suavitel;Suavizante Suavitel Brisa de Jazmin;9500.00;COP;;9500.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Alimentos;Compra supermercado - Suero Costeno;Suero Costeno Alqueria 400g;8700.00;COP;;8700.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-01;Gasto;Mercado;Higiene Personal;Compra supermercado - Tinte Coloriss;Tinte Coloriss N-8.31;12450.00;COP;;12450.00;;Mas x Menos;023E01206398;Tarjeta;Completado;IVA 19% incluido
2026-05-02;Gasto;Suscripciones;Software;Suscripcion Google Workspace;Cargo adicional Google Workspace;2258.00;COP;;2258.00;;Google;;Tarjeta;Completado;
2026-05-02;Gasto;Iglesia;Diezmo;Diezmo Iglesia Adventista;Diezmo - Decima parte para Dios (10%);252614.00;COP;;252614.00;;Iglesia Adventista;QDGY3X;Tarjeta;Completado;Recibo #10363
2026-05-02;Gasto;Iglesia;Ofrenda;Ofrenda Iglesia Adventista;Ofrenda general;162395.00;COP;;162395.00;;Iglesia Adventista;QDGY3X;Tarjeta;Completado;Recibo #10363
;;;;;;;;;;;;;;;
;;;;RESUMEN DE DEUDAS PENDIENTES;;;;;;;;;;;
Fecha_Registro;Tipo;Categoria;Acreedor;Concepto;Monto_Original;Moneda;Monto_COP_Aprox;Fecha_Vencimiento;Estado;Notas;;;;;
2026-05-02;Deuda;Religiosa;Iglesia;Diezmos pendientes;150.00;USD;543603.00;;Pendiente;Compromiso religioso;;;;;
2026-05-02;Deuda;Religiosa;Iglesia;Ofrendas pendientes;150.00;USD;543603.00;;Pendiente;Compromiso religioso;;;;;
2026-05-02;Deuda;Personal;Tio Bairon;Deuda restante (700 - 225 pagados);475.00;USD;1721409.50;;Pendiente;Deuda original 700 USD - 225 USD pagados el 15/04;;;;;
2026-05-02;Deuda;Telefonia;Motorola;Telefono Motorola Edge Fusion - Total;421586.35;COP;421586.35;;Pendiente;Opcion pago total;;;;;
2026-05-02;Deuda;Telefonia;Motorola;Telefono Motorola Edge Fusion - Cuota Mayo;131000.00;COP;131000.00;2026-05-12;Pendiente;Cuota + intereses para el 12 de mayo;;;;;
2026-05-02;Deuda;Tarjeta Credito;Nu Bank;Tarjeta de Credito Nu - Pago Minimo;732293.16;COP;732293.16;2026-05-19;Pendiente;Pago minimo;;;;;
2026-05-02;Deuda;Tarjeta Credito;Nu Bank;Tarjeta de Credito Nu - Monto Total;1011537.62;COP;1011537.62;2026-05-19;Pendiente;Monto total adeudado;;;;;
;;;;;;;;;;;;;;;
;;;;CAPITAL ACTUAL DISPONIBLE;;;;;;;;;;;
Fecha;Cuenta;Monto;Moneda;;;;;;;;;;;;
2026-05-02;Nu Bank;6936.33;COP;;;;;;;;;;;;
2026-05-02;Nequi;148000.35;COP;;;;;;;;;;;;
2026-05-02;TOTAL CAPITAL;154936.68;COP;;;;;;;;;;;;
